time,open,high,low,close
2025-12-15T00:03:00-05:00,6907.25,6907.5,6907.25,6907.25
2025-12-15T00:04:00-05:00,6907.25,6907.25,6906,6906.5
2025-12-15T00:05:00-05:00,6906.5,6907,6906.25,6906.25
2025-12-15T00:06:00-05:00,6906.25,6906.75,6905.75,6905.75
2025-12-15T00:07:00-05:00,6906,6906.5,6905.75,6906.5
2025-12-15T00:08:00-05:00,6906.25,6906.5,6906.25,6906.5
2025-12-15T00:09:00-05:00,6906.5,6906.5,6906.5,6906.5
2025-12-15T00:10:00-05:00,6906.5,6906.5,6906.25,6906.25
2025-12-15T00:11:00-05:00,6906.5,6907,6906.25,6906.75
2025-12-15T00:12:00-05:00,6906.75,6907,6906.5,6907
2025-12-15T00:13:00-05:00,6907.25,6907.5,6907,6907
2025-12-15T00:14:00-05:00,6907,6907.25,6906.75,6906.75
2025-12-15T00:15:00-05:00,6906.5,6906.5,6906.5,6906.5
2025-12-15T00:16:00-05:00,6906.5,6906.75,6905.5,6906
2025-12-15T00:17:00-05:00,6906,6906,6905.25,6905.5
2025-12-15T00:18:00-05:00,6905.5,6905.75,6905.25,6905.75
2025-12-15T00:19:00-05:00,6905.75,6906,6905.75,6905.75
2025-12-15T00:20:00-05:00,6905.5,6905.5,6904,6904.25
2025-12-15T00:21:00-05:00,6904.25,6905.25,6904.25,6905.25
2025-12-15T00:22:00-05:00,6905.5,6905.75,6905.25,6905.5
2025-12-15T00:23:00-05:00,6905.5,6906,6905.25,6906
2025-12-15T00:24:00-05:00,6905.75,6906.5,6905.5,6906.5
2025-12-15T00:25:00-05:00,6906.25,6906.75,6906.25,6906.5
2025-12-15T00:26:00-05:00,6906.75,6907.25,6906.5,6906.75
2025-12-15T00:27:00-05:00,6906.5,6907,6906.5,6906.5
2025-12-15T00:28:00-05:00,6906.5,6906.75,6906.25,6906.5
2025-12-15T00:29:00-05:00,6906.5,6906.5,6906,6906.25
2025-12-15T00:30:00-05:00,6906.25,6907,6906.25,6906.5
2025-12-15T00:31:00-05:00,6906.5,6906.75,6906,6906
2025-12-15T00:32:00-05:00,6905.75,6907,6905.75,6907
2025-12-15T00:33:00-05:00,6907,6907.25,6907,6907
2025-12-15T00:34:00-05:00,6907.25,6908.75,6907.25,6908.5
2025-12-15T00:35:00-05:00,6908.25,6908.75,6908.25,6908.75
2025-12-15T00:36:00-05:00,6908.75,6908.75,6908.25,6908.25
2025-12-15T00:37:00-05:00,6908.25,6908.5,6908,6908.25
2025-12-15T00:38:00-05:00,6908.25,6908.25,6908,6908.25
2025-12-15T00:39:00-05:00,6908.25,6908.75,6908.25,6908.25
2025-12-15T00:40:00-05:00,6908,6908,6907.75,6907.75
2025-12-15T00:41:00-05:00,6907.5,6908,6907,6908
2025-12-15T00:42:00-05:00,6908,6908.5,6908,6908.25
2025-12-15T00:43:00-05:00,6908.25,6908.25,6908.25,6908.25
2025-12-15T00:44:00-05:00,6908.25,6908.5,6908.25,6908.25
2025-12-15T00:45:00-05:00,6908.25,6908.25,6907.75,6908
2025-12-15T00:46:00-05:00,6908,6908,6907.5,6907.75
2025-12-15T00:47:00-05:00,6907.75,6908,6907.5,6907.75
2025-12-15T00:48:00-05:00,6908,6908.25,6907.75,6907.75
2025-12-15T00:49:00-05:00,6907.75,6907.75,6907.25,6907.25
2025-12-15T00:50:00-05:00,6907.25,6907.75,6907.25,6907.75
2025-12-15T00:51:00-05:00,6908,6908.25,6908,6908
2025-12-15T00:52:00-05:00,6908,6908.25,6908,6908
2025-12-15T00:53:00-05:00,6908,6908,6907.5,6907.5
2025-12-15T00:54:00-05:00,6907.25,6907.5,6906.75,6907.5
2025-12-15T00:55:00-05:00,6907.5,6907.5,6907.25,6907.25
2025-12-15T00:56:00-05:00,6907.5,6908.25,6907.5,6908.25
2025-12-15T00:57:00-05:00,6908.5,6908.75,6908.25,6908.25
2025-12-15T00:58:00-05:00,6908.25,6908.25,6908,6908
2025-12-15T00:59:00-05:00,6907.75,6908,6907.5,6907.5
2025-12-15T01:00:00-05:00,6907.5,6907.5,6906.25,6907
2025-12-15T01:01:00-05:00,6907,6907,6905.5,6905.5
2025-12-15T01:02:00-05:00,6905.25,6905.25,6904.75,6905
2025-12-15T01:03:00-05:00,6905.25,6905.25,6904.75,6904.75
2025-12-15T01:04:00-05:00,6904.75,6904.75,6904.25,6904.5
2025-12-15T01:05:00-05:00,6904.5,6904.5,6902.5,6902.5
2025-12-15T01:06:00-05:00,6902.75,6903.75,6902.5,6903
2025-12-15T01:07:00-05:00,6903.25,6903.5,6903,6903.25
2025-12-15T01:08:00-05:00,6903.5,6904,6903.25,6903.25
2025-12-15T01:09:00-05:00,6903,6903.25,6902.5,6903
2025-12-15T01:10:00-05:00,6902.75,6904,6902.75,6904
2025-12-15T01:11:00-05:00,6903.5,6903.75,6903,6903
2025-12-15T01:12:00-05:00,6903.25,6904,6903.25,6903.75
2025-12-15T01:13:00-05:00,6904,6904.25,6903.75,6903.75
2025-12-15T01:14:00-05:00,6903.75,6904.75,6903.75,6904
2025-12-15T01:15:00-05:00,6904.25,6905.5,6904,6905
2025-12-15T01:16:00-05:00,6905,6905.5,6905,6905.5
2025-12-15T01:17:00-05:00,6905.25,6905.25,6904.5,6904.75
2025-12-15T01:18:00-05:00,6904.5,6906,6904.5,6905.75
2025-12-15T01:19:00-05:00,6906,6907.25,6905.75,6906.75
2025-12-15T01:20:00-05:00,6907,6907.25,6906.25,6906.75
2025-12-15T01:21:00-05:00,6906.75,6906.75,6906,6906.25
2025-12-15T01:22:00-05:00,6906.25,6906.75,6906.25,6906.5
2025-12-15T01:23:00-05:00,6906.25,6906.25,6906,6906
2025-12-15T01:24:00-05:00,6906.25,6906.5,6905.75,6905.75
2025-12-15T01:25:00-05:00,6905.75,6905.75,6904.75,6905.25
2025-12-15T01:26:00-05:00,6905.25,6905.25,6905,6905.25
2025-12-15T01:27:00-05:00,6905.25,6906.75,6905.25,6906.5
2025-12-15T01:28:00-05:00,6906.5,6906.75,6906.25,6906.25
2025-12-15T01:29:00-05:00,6906.25,6906.25,6904.75,6904.75
2025-12-15T01:30:00-05:00,6904.5,6905.5,6904.5,6904.5
2025-12-15T01:31:00-05:00,6904.25,6904.75,6904,6904
2025-12-15T01:32:00-05:00,6903.75,6904,6903.5,6903.5
2025-12-15T01:33:00-05:00,6903.5,6903.5,6903.25,6903.25
2025-12-15T01:34:00-05:00,6903.25,6903.75,6903.25,6903.5
2025-12-15T01:35:00-05:00,6903.75,6903.75,6902.5,6902.75
2025-12-15T01:36:00-05:00,6902.75,6903.75,6902.75,6903.75
2025-12-15T01:37:00-05:00,6904,6905,6904,6904.25
2025-12-15T01:38:00-05:00,6904.5,6904.75,6904.5,6904.75
2025-12-15T01:39:00-05:00,6904.75,6905.5,6904.5,6905
2025-12-15T01:40:00-05:00,6905.25,6905.5,6904.75,6904.75
2025-12-15T01:41:00-05:00,6905,6905.75,6905,6905.75
